title,category,summary,url
LLMs in Production: From language models to successful products,Book,"LLMs in Production: From language models to successful products [Brousseau, Christopher, Sharp, Matt] on Amazon.com. *FREE* shipping on qualifying ...",http://www.amazon.com/LLMs-Production-language-successful-products/dp/1633437205
courses/prompt_engineering_interactive_tutorial/Anthropic 1P/00_Tutorial_How-To.ipynb at master · anthropics/courses,Code_Repository,Anthropic's educational courses. Contribute to anthropics/courses development by creating an account on GitHub.,https://github.com/anthropics/courses/blob/master/prompt_engineering_interactive_tutorial/Anthropic%201P/00_Tutorial_How-To.ipynb
Advanced Prompt Engineering for Everyone,Course,Offered by Vanderbilt University. Unlock the full potential of generative AI and become a master of prompt engineering. Dive deeper into how ... En...,https://www.coursera.org/learn/advanced-prompt-engineering-for-everyone
Agentic AI MOOC,Course,"MOOC, Fall 2025",https://agenticai-learning.org/f25
ChatGPT Prompt Engineering for Developers (Short Course),Course,"Learn ChatGPT Prompt Engineering for Developers in this 2-hour, Guided Project. Practice with real-world tasks and build skills you can apply right...",https://www.coursera.org/projects/chatgpt-prompt-engineering-for-developers-project
Computer Science for Artificial Intelligence Professional Certificate,Course,Learn programming fundamentals and how to use machine learning in Python.,https://www.edx.org/certificates/professional-certificate/harvardx-computer-science-for-artifical-intelligence
Generative AI for Software Developers,Course,Offered by IBM. Boost your software development career with Gen AI. Build in-demand hands-on Generative AI skills for your elevating your ... Enrol...,https://www.coursera.org/specializations/generative-ai-for-software-developers
Generative AI with Large Language Models,Course,Learn how generative AI and large language models work in this course from AWS and DeepLearning.AI. Explore key concepts and techniques for buildin...,https://www.coursera.org/learn/generative-ai-with-llms
Google AI Essentials,Course,Offered by Google. Boost Your Productivity with AI Tools. New to AI? Learn from Google experts how AI can help you speed up daily tasks and ... Enr...,http://www.coursera.org/specializations/ai-essentials-google
Google Prompting Essentials,Course,Offered by Google. Unlock AI’s Potential with Effective Prompts. Learn from Google experts how to use AI effectively by writing clear and ... Enrol...,https://www.coursera.org/specializations/prompting-essentials-google
IBM RAG and Agentic AI: Build Next-Gen AI Assistants,Course,"Offered by IBM. Build real-world AI with RAG and agentic AI. Use AI tools to streamline automation, drive innovation & take your career ... Enroll ...",http://www.coursera.org/specializations/ibm-rag-and-agentic-ai
Intro to Generative AI: A Beginner's Primer on Core Concepts,Course,Offered by Google Cloud.  Enroll for free.,https://www.coursera.org/specializations/introduction-to-generative-ai
Llm Engineering Master Ai And Large Language Models (Udemy Course),Course,Udemy course: Llm Engineering Master Ai And Large Language Models. Access blocked - please visit URL to see full details.,http://www.udemy.com/course/llm-engineering-master-ai-and-large-language-models/learn/lecture/46867713?start=0
Machine Learning in Production,Course,"Offered by DeepLearning.AI. In this Machine Learning in Production course, you will build intuition about designing a production ML system ... Enro...",https://coursera.org/share/6a038c8496caf6cf863d719c9ff71bb2
"Machine Learning with Scikit-learn, PyTorch & Hugging Face",Course,Offered by Stanford University and DeepLearning.AI. #BreakIntoAI with Machine Learning Specialization. Master fundamental AI concepts and ... Enrol...,http://www.coursera.org/specializations/machine-learning-introduction
Retrieval Augmented Generation (RAG),Course,Offered by DeepLearning.AI. Retrieval Augmented Generation (RAG) improves large language model (LLM) responses by retrieving relevant data ... Enro...,http://www.coursera.org/learn/retrieval-augmented-generation-rag
The Ai Engineer Course Complete Ai Engineer Bootcamp (Udemy Course),Course,Udemy course: The Ai Engineer Course Complete Ai Engineer Bootcamp. Access blocked - please visit URL to see full details.,https://www.udemy.com/course/the-ai-engineer-course-complete-ai-engineer-bootcamp
The Complete Agentic Ai Engineering Course (Udemy Course),Course,Udemy course: The Complete Agentic Ai Engineering Course. Access blocked - please visit URL to see full details.,http://www.udemy.com/course/the-complete-agentic-ai-engineering-course
Udemy Course (Shared Link),Course,Udemy course shared link. Access blocked - please visit URL to see course details.,https://www.udemy.com/share/10bQ953@YZnRl0OLIdY7k-D48DjUX3oKxfKsdJjbjpGCE-KdvxP3RgimiDv_1eQCRqbddGmGbw==
Machine Learning,Documentation,"These modules cover the fundamentals of building regression and classification
   models.",https://developers.google.com/machine-learning/crash-course
#ai-for-dev-productivity,Slack_Channel,Slack channel: #ai-for-dev-productivity,N/A
3Blue1Brown,Video,"My name is Grant Sanderson. Videos here cover a variety of topics in math, or adjacent fields like physics and CS, all with an emphasis on visualiz...",http://www.youtube.com/c/3blue1brown
"AI Dev 25: Code, learn, connect.",Video,"Wow—what a day! AI Dev 25, celebrated during Pi Day, was an incredible gathering of developers and innovators, and we’re grateful you were part of ...",https://youtube.com/playlist?list=PLkDaE6sCZn6EYD2iP6x7c3zSbJXi0_jZT&si=tT7PkHTzBTMBqP5L
Andrej Karpathy,Video,No summary available,https://www.youtube.com/andrejkarpathy
Anthropic,Video,"We’re an AI safety and research company. Talk to our AI assistant Claude on claude.com. Download Claude on desktop, iOS, or Android. 

We believe A...",https://www.youtube.com/@anthropic-ai
Berkeley RDI Center on Decentralization & AI,Video,"UC Berkeley RDI Center – rdi.berkeley.edu
World's first Advanced LLM Agents MOOC - llmagents-learning.org/sp25
World's first LLM Agents MOOC - llma...",http://www.youtube.com/@BerkeleyRDI
Building AI Agents,Video,Tutorials and best practices for building AI systems and agents with Python,https://www.youtube.com/playlist?list=PL-Y17yukoyy0SupAJSPQYg_Lvre9Kt9EG
Deep Dive into LLMs like ChatGPT,Video,This is a general audience deep dive into the Large Language Model (LLM) AI technology that powers ChatGPT and related products. It is covers the f...,https://youtu.be/7xTGNNLPyMI?si=dm2ZuxnBymlg99kn
LangChain,Video,Learn more about building LLM applications with LangChain,https://www.youtube.com/@LangChain
Learn RAG From Scratch – Python AI Tutorial from a LangChain Engineer,Video,"Learn how to implement RAG (Retrieval Augmented Generation) from scratch, straight from a LangChain software engineer. This Python course teaches y...",http://www.youtube.com/watch?v=sVcwVQRHIc8&t=3566s
Lecture 1,Video,The AI course is entirely free.Live classes are held every Tuesday and Wednesday on Facebook and YouTube from 7:30 to 9:30 p.m.Recorded lectures wi...,http://www.youtube.com/watch?v=3tDE4hDaYgw&list=PLxf3-FrL8GzTIQpnY_UyzDX6JK0_Kbe_t
Neural networks,Video,"Learn the basics of neural networks and backpropagation, one of the most important algorithms for the modern world.",http://www.youtube.com/playlist?list=PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi
Theo - t3․gg,Video,"Hi, I'm a software dev nerd mostly known for full stack TypeScript stuff. Check out me and my stack at t3.gg",https://www.youtube.com/@t3dotgg
